Plots;Agrostis_capillaris;Agrostis_curtisii;Bryophytes;Calluna_vulgaris;Carex_nigra;Cerastium_glomeratum;Cladonia_portentosa;Danthonia_decumbens;Drosera_rotundifolia;Erica_cinerea;Erica_tetralix;Festuca_ovina;Galium_saxatile;Juncus_effusus;Juncus_squarrosus;Luzula_sylvatica;Molinia_caerulea;Narthecium_ossifragum;Plantago_lanceolata;Potentilla_erecta;Pteridium_aquilinum;Sphagnum_sp.;Taraxacum_officinale;Trichophorum_cespitosum;Trifolium_repens;Vaccinium_myrtillus;Viola_riviniana
1;0;0;0;0;15;0;0;0;2;0;0;0;0;5;0;0;35;20;0;0;0;80;0;0;0;0;0
2;0;0;0;0;10;0;0;0;0;0;0;0;0;15;0;0;50;0;0;0;0;80;0;5;0;0;0
3;80;0;0;0;0;0;0;0;0;0;0;10;10;0;0;0;0;0;0;20;0;0;0;0;3;0;0
4;0;80;15;10;0;0;1;0;0;0;5;0;0;0;0;0;40;0;0;3;0;0;0;0;0;0;0
5;0;0;1;35;0;0;0;0;0;0;0;40;1;0;0;0;0;0;0;0;0;0;0;0;0;50;0
6;0;70;2;0;0;0;0;0;0;0;0;0;5;0;0;0;20;0;0;5;0;0;0;0;0;0;0
7;0;0;15;0;0;0;0;0;0;0;0;40;35;0;0;0;0;0;0;0;0;0;0;0;0;20;0
8;0;0;0;0;0;0;0;0;0;0;0;40;40;0;0;0;0;0;0;10;90;0;0;0;0;10;0
9;1;0;0;0;5;0;10;0;0;0;0;0;5;5;0;0;0;0;0;2;0;75;0;2;0;0;0
10;0;25;0;0;25;0;10;0;0;5;0;0;10;0;0;0;25;0;0;10;0;0;0;0;0;20;0
11;0;0;0;25;10;0;5;0;0;0;20;0;0;0;0;0;75;0;0;5;0;0;0;0;0;10;0
12;0;0;0;0;10;0;0;0;2;0;25;0;2;5;0;0;0;10;0;0;0;55;0;10;0;0;0
13;70;0;0;0;0;1;0;5;0;0;0;30;10;0;0;0;0;0;0;10;0;0;0;0;0;0;2
14;90;0;1;0;0;0;15;0;0;0;0;20;0;0;0;0;0;0;0;1;0;0;0;0;0;20;0
15;0;0;0;0;0;0;0;0;0;0;0;30;20;0;0;0;0;0;0;5;60;0;0;0;0;0;0
16;0;0;1;100;1;0;15;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0
17;0;0;0;0;0;0;0;0;0;0;20;0;5;0;0;0;90;0;0;10;0;0;0;0;0;5;0
18;90;0;0;0;0;2;0;0;0;0;0;20;10;0;0;0;0;0;5;5;0;0;1;0;3;0;0
19;0;0;0;0;5;0;0;0;0;0;0;10;25;0;0;0;0;0;0;2;100;0;0;0;0;0;5
20;75;15;0;0;0;0;0;5;0;0;0;25;0;0;5;3;0;0;0;0;0;0;0;0;0;0;0
21;0;0;0;90;0;0;20;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0
22;0;0;5;0;5;0;10;0;0;0;25;0;0;0;0;0;95;0;0;0;0;0;0;0;0;5;0
23;0;0;0;0;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;95;0;0;0;0;0;0
24;65;0;0;0;0;0;0;0;0;0;0;50;25;0;0;0;0;0;2;15;0;0;0;0;0;0;5
25;0;0;0;2;10;0;0;0;2;0;0;0;0;20;0;0;10;5;0;0;0;90;0;5;0;0;0
