"Acer.platanoides","Acer.pseudoplatanus","Achillea.millefolium","Achillea.ptarmica","Aegopodium.podagraria","Agrostis.canina","Agrostis.capillaris","Agrostis.stolonifera","Agrostis.vinealis","Ajuga.reptans","Alnus.glutinosa","Alnus.incana","Alopecurus.geniculatus","Alopecurus.pratensis","Amelanchier.lamarckii","Anemone.nemorosa","Angelica.sylvestris","Anthoxanthum.odoratum","Anthriscus.sylvestris","Arrhenatherum.elatius","Athyrium.filix.femina","Bellis.perennis","Berula.erecta","Betula.pendula","Betula.pubescens","Brachypodium.sylvaticum","Bromus.hordeaceus.subsp..hordeaceus","Calamagrostis.epigejos","Calluna.vulgaris","Caltha.palustris","Calystegia.sepium","Campanula.rapunculus","Capsella.bursa.pastoris","Cardamine.amara","Cardamine.pratensis","Carex.acuta","Carex.acutiformis","Carex.hirta","Carex.pilulifera","Carex.remota","Carex.sylvatica","Carpinus.betulus","Castanea.sativa","Centaurea.jacea","Centaurium.erythraea","Cerastium.fontanum","Cerastium.glomeratum","Chenopodium.album","Cichorium.intybus","Circaea.lutetiana","Cirsium.arvense","Cirsium.oleraceum","Cirsium.palustre","Cirsium.vulgare","Convallaria.majalis","Conyza.canadensis","Cornus.sanguinea","Corylus.avellana","Crataegus.monogyna","Crepis.biennis","Crepis.capillaris","Cynosurus.cristatus","Cytisus.scoparius","Dactylis.glomerata","Dactylorhiza.fuchsii","Danthonia.decumbens","Daucus.carota","Deschampsia.cespitosa","Deschampsia.flexuosa","Dryopteris.carthusiana","Dryopteris.dilatata","Dryopteris.filix.mas","Elymus.repens","Epilobium.ciliatum","Epilobium.hirsutum","Epilobium.parviflorum","Epilobium.tetragonum","Epipactis.helleborine","Equisetum.arvense","Equisetum.fluviatile","Equisetum.palustre","Equisetum.telmateia","Euonymus.europaeus","Fagus.sylvatica","Festuca.pratensis","Festuca.rubra","Filipendula.ulmaria","Fragaria.vesca","Frangula.alnus","Fraxinus.excelsior","Galeopsis.tetrahit","Galium.aparine","Galium.palustre","Galium.uliginosum","Geranium.dissectum","Geranium.pusillum","Geranium.robertianum","Geum.urbanum","Glechoma.hederacea","Glyceria.fluitans","Glyceria.maxima","Hedera.helix","Heracleum.sphondylium","Hieracium.laevigatum","Hieracium.pilosella","Hieracium.umbellatum","Holcus.lanatus","Holcus.mollis","Humulus.lupulus","Hypericum.dubium","Hypericum.humifusum","Hypericum.perforatum","Hypochaeris.radicata","Ilex.aquifolium","Impatiens.parviflora","Iris.pseudacorus","Jasione.montana","Juglans.regia","Juncus.acutiflorus","Juncus.conglomeratus","Juncus.effusus","Juncus.squarrosus","Lamium.galeobdolon","Larix.kaempferi","Lathyrus.pratensis","Leontodon.autumnalis","Leucanthemum.vulgare","Linaria.vulgaris","Lolium.multiflorum","Lolium.perenne","Lonicera.periclymenum","Lotus.corniculatus.subsp..corniculatus","Lotus.pedunculatus","Luzula.campestris","Luzula.pilosa","Lychnis.flos.cuculi","Lycopus.europaeus","Lysimachia.nummularia","Lysimachia.vulgaris","Lythrum.salicaria","Maianthemum.bifolium","Malva.moschata","Matricaria.recutita","Medicago.sativa","Melica.uniflora","Mentha.aquatica","Mentha.arvensis","Mespilus.germanica","Milium.effusum","Molinia.caerulea","Myosotis.laxa","Myosotis.scorpioides","Myosotis.sylvatica","Myosoton.aquaticum","Oxalis.acetosella","Paris.quadrifolia","Persicaria.amphibia","Phalaris.arundinacea","Phleum.pratense","Phragmites.australis","Pimpinella.major","Pinus.nigra.subsp..laricio","Pinus.sylvestris","Plantago.lanceolata","Plantago.major","Poa.pratensis","Poa.trivialis","Polygonatum.multiflorum","Populus.x.canescens","Populus...canadensis","Potentilla.reptans","Primula.elatior","Prunella.vulgaris","Prunus.avium","Prunus.serotina","Pseudotsuga.menziesii","Pteridium.aquilinum","Pulicaria.dysenterica","Quercus.petraea","Quercus.robur","Quercus.rubra","Ranunculus.acris","Ranunculus.flammula","Ranunculus.repens","Rhinanthus.angustifolius","Ribes.rubrum","Robinia.pseudoacacia","Rubus.caesius","Rubus.fruticosus","Rumex.acetosa","Rumex.acetosella","Rumex.conglomeratus","Rumex.crispus","Rumex.obtusifolius","Rumex...pratensis","Salix.alba","Salix.aurita","Salix.caprea","Salix.cinerea","Sambucus.nigra","Scirpus.sylvaticus","Scutellaria.galericulata","Senecio.jacobaea","Senecio.vulgaris","Silene.dioica","Solanum.dulcamara","Sonchus.asper","Sonchus.oleraceus","Sorbus.aucuparia","Stachys.palustris","Stachys.sylvatica","Stellaria.graminea","Stellaria.holostea","Stellaria.media.subsp..media","Symphytum.officinale","Taraxacum.spp.","Taxus.baccata","Teucrium.scorodonia","Trifolium.dubium","Trifolium.pratense","Trifolium.repens","Typha.latifolia","Ulmus.glabra","Urtica.dioica","Vaccinium.myrtillus","Valeriana.repens","Veronica.arvensis","Veronica.chamaedrys","Veronica.officinalis","Veronica.persica","Veronica.serpyllifolia","Vicia.cracca","Vicia.hirsuta","Vicia.sepium","Vicia.tetrasperma","Viola.odorata","Viola.reichenbachiana","Vulpia.bromoides"
0,0,0,2,0,0,0,4,0,1,0,0,0,60,0,0,1,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,4,0,0,0,0,1,40,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0.5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,15,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,2,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,40,0,0,0,0,0,0,0,0,0,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,7.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-70,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,80,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,30,0,0,0,0,0,4,0,0,0,7.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,10,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,40,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
