"X","Plot_ID","Latitude","Longitude","Date","Vegtype","Slope","Aspect","Elevation","Cover_veg","Cover_bare","Cover_litter","Cover_herb","Cover_bryo","Cover_lichens","Cover_shrubs","Cover_trees"
1,"D117_N1C",50.8535,4.66454,"8.07.2019","Grassland",0,0,22.92,100,0,30,"100",20,0,0,0
2,"D117_A1C",50.85015,4.66085,"16.07.2019","Grassland",0,0,24,98,0,5,"98",5,0,0,0
3,"D117_N2C",50.82368,4.63986,"9.07.2019","Forest",0,0,27.39,95,2,90,"50",1,0,40,85
4,"D117_A2C",50.78498,4.64294,"16.07.2019","Forest",0,0,29.16,97,5,30,"90",1,0,0,40
5,"D117_C01",50.910923,4.639869,"1.07.2019","Grassland",0,0,23.4,100,0,2,"100",30,0,0,0
6,"D117_C02",50.913886,4.637381,"1.07.2019","Forest",0,0,21.57,90,1,95,"80",0,0,70,60
7,"D117_C03",50.916627,4.618737,"1.07.2019","Grassland",0,0,21.59,95,3,2,"95",0,0,0,0
8,"D117_C04",50.815605,4.647139,"2.07.2019","Grassland",0,0,27.92,99,1,1,"99",10,0,0,0
9,"D117_C05",50.836614,4.643549,"2.07.2019","Grassland",0,0,26.37,90,10,30,"90",0,0,0,0
10,"D117_C06",50.842328,4.643616,"2.07.2019","Grassland",0,0,28.43,100,0,10,"100",0,0,0,0
11,"D117_C07",50.843285,4.645071,"2.07.2019","Forest",0,0,27.63,90,10,85,"80",1,0,40,10
12,"D117_C08",50.850995,4.660363,"2.07.2019","Grassland",5,322,23.48,100,0,10,"100",5,0,0,0
13,"D117_C09",50.845151,4.653898,"2.07.2019","Grassland",0,0,25.15,100,0,10,"100",4,0,0,0
14,"D117_C10",50.887944,4.586071,"3.07.2019","Grassland",0,0,218.26,100,0,4,"100",2,0,0,0
15,"D117_C11",50.887651,4.584109,"3.07.2019","Forest",0,0,34.64,95,20,80,"50",1,0,90,40
16,"D117_C12",50.884224,4.582972,"3.07.2019","Grassland",0,0,38.49,95,5,10,"95",0,0,0,0
17,"D117_C13",50.877057,4.614118,"3.07.2019","Forest",5,3400,85.72,90,0,100,"30",1,0,0,85
18,"D117_C14",50.888425,4.629459,"3.07.2019","Forest",2,267,55.66,90,0,100,"10",0,0,40,80
19,"D117_C15",50.817868,4.646209,"4.07.2019","Grassland",0,0,27.77,100,0,5,"100",20,0,0,0
20,"D117_C16",50.81936,4.6443,"4.07.2019","Grassland",0,0,27.84,99,1,5,"99",15,0,0,0
21,"D117_C17",50.80932,4.641979,"4.07.2019","Forest",0,0,27.05,95,1,99,"80",0,0,10,70
22,"D117_C18",50.87993,4.644816,"5.07.2019","Forest",0,0,68.19,95,1,99,"85",1,0,20,60
23,"D117_C19",50.879948,4.643529,"5.07.2019","Forest",0.2,102,73,90,0,100,"80",1,0,4,50
24,"D117_C20",50.87172,4.642734,"5.07.2019","Grassland",19,255,52.06,50,40,1,"60",4,0,0,0
25,"D117_C21",50.86259,4.668497,"5.07.2019","Grassland",0,0,27.21,100,0,5,"100",5,0,0,0
26,"D117_C22",50.861413,4.66896,"5.07.2019","Forest",0,0,25.57,95,1,95,"75",2,0,50,75
27,"D117_C23",50.856526,4.666922,"5.07.2019","Forest",0,0,22.95,95,1,95,"90",0,0,4,70
28,"D117_C24",50.864893,4.685396,"8.07.2019","Grassland",0,0,23.86,100,0,2,"100",1,0,0,0
29,"D117_C25",50.864851,4.690753,"8.07.2019","Forest",0,0,28.43,90,1,99,"40",0,0,20,60
30,"D117_C26",50.831046,4.547629,"8.07.2019","Forest",0,0,57.63,100,2,98,"90",5,0,60,50
31,"D117_C27",50.831078,4.549545,"8.07.2019","Grassland",0,0,66.18,100,0,4,"100",0,0,0,0
32,"D117_C28",50.813382,4.704145,"8.07.2019","Forest",0,0,75.88,90,0,100,"1",1,0,0,90
33,"D117_C29",50.791153,4.638712,"9.07.2019","Forest",0,0,29.74,90,98,1,"85",0,0,5,0
34,"D117_C30",50.78776,4.639529,"9.07.2019","Grassland",0,0,29.44,100,0,2,"100",0,0,0,0
35,"D117_C31",50.772124,4.609928,"9.07.2019","Forest",0,0,33.56,99,1,10,"90",5,0,30,50
36,"D117_C32",50.764352,4.614552,"9.07.2019","Forest",0,0,83.85,70,1,85,"60",60,0,2,30
37,"D117_C33",50.893118,4.722261,"10.07.2019","Grassland",0,0,16.71,100,0,4,"100",4,0,0,0
38,"D117_C34",50.894093,4.732035,"10.07.2019","Forest",0,0,21.86,99,5,30,"95",0,0,15,60
39,"D117_C35",50.893977,4.732021,"10.07.2019","Grassland",0,0,22.53,100,0,5,"100",20,0,0,0
40,"D117_C36",50.898818,4.76703,"10.07.2019","Forest",5,210,72.06,95,1,95,"70",1,0,80,30
41,"D117_C37",50.897726,4.770923,"10.07.2019","Forest",10,306,68.12,NA,1,95,"70",0,0,40,60
42,"D117_C38",50.849195,4.682075,"11.07.2019","Forest",0,0,50.26,80,0,99,"60",1,0,35,30
43,"D117_C39",50.845296,4.684345,"11.07.2019","Forest",0,0,56.34,60,20,30,"55",0,0,10,0
44,"D117_C40",50.832937,4.672137,"11.07.2019","Grassland",0,0,68.76,90,4,4,"90",0,0,0,0
45,"D117_C41",50.831346,4.66759,"11.07.2019","Grassland",0,0,72.4,99,1,20,"99",2,0,0,0
46,"D117_C42",50.822748,4.664529,"11.07.2019","Forest",0,0,37.45,90,10,80,"60",2,0,40,60
47,"D117_C43",50.839074,4.700963,"11.07.2019","Forest",0,0,57.37,85,1,98,"75",1,0,70,40
48,"D117_C44",50.819989,4.701799,"15.07.2019","Grassland",0,0,72.39,99,2,4,"99",2,0,0,0
49,"D117_C45",50.811161,4.718851,"15.07.2019","Forest",0,0,91.91,85,2,85,"80",10,0,0,40
50,"D117_C46",50.81562,4.736075,"15.07.2019","Forest",0,0,88.62,15,2,97,"15",1,0,0,0
51,"D117_C47",50.814507,4.746797,"15.07.2019","Forest",0,0,92.09,60,1,97,"4",2,0,4,50
52,"D117_C48",50.802374,4.716586,"15.07.2019","Forest",0,0,61.78,95,4,85,"70",15,0,22,80
53,"D117_C49",50.825279,4.695435,"15.07.2019","Grassland",0,0,60.28,95,4,2,"95",0,0,0,0
54,"D117_C50",50.805746,4.718333,"16.07.2019","Forest",0,0,78.47,65,1,97,"65",1,0,0,0
55,"D117_C51",50.8059,4.719135,"16.07.2019","Forest",0,0,78.42,80,3,97,"80",0,0,0,0
56,"D117_C52",50.807634,4.739068,"16.07.2019","Forest",0,0,80.73,50,1,95,"40",2,0,10,0
57,"D117_C53",50.797836,4.698912,"16.07.2019","Forest",0,0,77.01,80,1,95,"30",2,0,5,70
58,"D117_C54",50.796528,4.67689,"16.07.2019","Forest",0,0,87.96,NA,1,95,"70",1,0,4,30
59,"D117_C55",50.8065,4.68485,"16.07.2019","Forest",0,0,72.94,85,1,97,"80",1,0,1,20
60,"D117_C56",50.856026,4.771491,"17.07.2019","Forest",0,0,39.62,85,5,85,"70",0,0,7.5,40
61,"D117_C57",50.857218,4.771029,"17.07.2019","Forest",0,0,39.54,90,7.5,60,"70",0,1,30,50
62,"D117_C58",50.855191,4.770241,"17.07.2019","Grassland",0,0,41.07,100,0,1,"100",0,0,0,0
63,"D117_C59",50.85566,4.770766,"17.07.2019","Grassland",0,0,39.69,100,0,2,"100",0,0,0,0
64,"D117_C60",50.856489,4.766147,"17.07.2019","Grassland",0,0,37.92,100,0,5,"100",0,0,0,0
65,"D117_C61",50.879107,4.805354,"18.07.2019","Grassland",5,276,94.99,80,10,10,"80",0,0,0,0
66,"D117_C62",50.876593,4.742595,"18.07.2019","Grassland",0,0,49.76,100,0,0,"100",5,0,0,0
67,"D117_C63",50.818252,4.788819,"18.07.2019","Grassland",0,0,73.48,100,0,2,"100",2,0,0,0
68,"D117_C64",50.806617,4.648343,"18.07.2019","Grassland",0,0,29.67,100,0,70,"100",0,0,0,0
69,"D117_C65",50.811965,4.635548,"18.07.2019","Forest",0,0,28.16,100,0,80,"90",2,0,50,60
70,"D132_N1C",50.98198,5.6337,"22/08/2019","Shrubland",0,0,89.29,90,2,30,"90",5,0,0,0
71,"D132_A1C",51.00818,5.61656,"23/08/2019","Shrubland",0,0,88.74,75,1,25,"75",0.5,0.5,4,0
72,"D132_C01",50.99619,5.56356,"22/08/2019","Shrubland",0,0,80.09,75,10,25,"75",1,0,0,0
73,"D132_C02",50.96534,5.64499,"23/08/2019","Shrubland",0,0,88.64,65,30,10,"65",0.5,0,0,0
74,"D132_C03",50.99937,5.67723,"27/08/2019","Shrubland",0,0,37.96,85,5,80,"30",20,0,2,50
75,"D132_C04",50.99879,5.65594,"27/08/2019","Shrubland",0,0,88.56,70,5,20,"80",10,0,1,4
76,"D132_C05",51.0074,5.6574,"26/08/2019","forest",0,0,85.99,90,99,95,"60",1,0,2,70
77,"D132_C06",51.00621,5.65638,"26/08/2019","forest",0,0,74.23,90,100,50,"60",4,0,4,60
78,"D132_C07",51.00231,5.6746,"26/08/2019","forest",37,180,68.12,80,70,50,"5",10,1,4,75
79,"D132_C08",51.00752,5.67237,"26/08/2019","forest",0,0,47.55,100,100,90,"95",40,0,0,50
80,"D132_C09",51.0028,5.69193,"27/08/2019","forest",20,190,52.67,80,10,20,"70",10,1,2,30
81,"D132_C10",51.009058,5.4501468,"28/08/2019","Shrubland",3.81,156.12,79.78,85,1,30,"60",10,0,0,0
82,"D132_C11",51.0077471,5.4518842,"28/08/2019","Shrubland",5.18,172.23,71.33,95,1,15,"90",4,0,0,0
83,"D132_C12",51.0130506,5.4071993,"28/08/2019","Shrubland",5.86,155.99,67.84,98,1,2,"98",80,2,0,0
84,"D132_C13",51.0137251,5.4073756,"28/08/2019","Shrubland",6.3,353.89,66.31,80,1,30,"80",50,2,0,0
85,"D132_C14",50.9959902,5.4324868,"28/08/2019","Shrubland",7.84,325.5,76.66,70,2,40,"60",40,0,2,0
86,"D132_C15",50.9958894,5.4331091,"28/08/2019","Shrubland",7.12,141.82,78.09,60,10,40,"60",10,0,4,0
87,"D132_C16",50.9846204,5.4237545,"28/08/2019","Shrubland",0,0,60.92,70,2,50,"60",30,0,0,0
88,"D132_C17",50.9851091,5.4240932,"28/08/2019","Shrubland",0,0,60.33,70,0,50,"70",20,0,0,0
89,"D132_C18",51.0099758,5.5254216,"29/08/2019","forest",0,0,81.79,80,1,60,"50",40,0,0,60
90,"D132_C19",51.0091884,5.5258917,"29/08/2019","forest",0,0,81.42,90,0,95,"10",2,0,0,90
91,"D132_C20",51.0089147,5.5280324,"29/08/2019","Shrubland",0,0,81.22,50,40,10,"50",10,4,0,0
92,"D132_C21",50.9741645,5.6569538,"29/08/2019","Shrubland",14,8,74.43,100,0,10,"100",4,0,2,0
93,"D132_C22",50.9711588,56538783,"28/08/2019","Shrubland",0,0,87.93,50,2,40,"50",60,0,0,0
