Plot_ID;Latitude;Longitude;Date;Vegtype;Slope;Aspect;Elevation;Cover_veg;Cover_bare;Cover_litter;Cover_herb;Cover_bryo;Cover_lichens;Cover_shrubs;Cover_trees
D117_N1C;50.8535;4.66454;8.07.2019;Grassland;0;0;22.92;100;0;30;100;20;0;0;0
D117_A1C;50.85015;4.66085;16.07.2019;Grassland;0;0;24;98;0;5;98;5;0;0;0
D117_N2C;50.82368;4.63986;9.07.2019;Forest;0;0;27.39;95;2;90;50;1;0;40;85
D117_A2C;50.78498;4.64294;16.07.2019;Forest;0;0;29.16;97;5;30;90;1;0;0;40
D117_C01;50.910923;4.639869;1.07.2019;Grassland;0;0;23.4;100;0;2;100;30;0;0;0
D117_C02;50.913886;4.637381;1.07.2019;Forest;0;0;21.57;90;1;95;80;0;0;70;60
D117_C03;50.916627;4.618737;1.07.2019;Grassland;0;0;21.59;95;3;2;95;0;0;0;0
D117_C04;50.815605;4.647139;2.07.2019;Grassland;0;0;27.92;99;1;1;99;10;0;0;0
D117_C05;50.836614;4.643549;2.07.2019;Grassland;0;0;26.37;90;10;30;90;0;0;0;0
D117_C06;50.842328;4.643616;2.07.2019;Grassland;0;0;28.43;100;0;10;100;0;0;0;0
D117_C07;50.843285;4.645071;2.07.2019;Forest;0;0;27.63;90;10;85;80;1;0;40;10
D117_C08;50.850995;4.660363;2.07.2019;Grassland;5;322;23.48;100;0;10;100;5;0;0;0
D117_C09;50.845151;4.653898;2.07.2019;Grassland;0;0;25.15;100;0;10;100;4;0;0;0
D117_C10;50.887944;4.586071;3.07.2019;Grassland;0;0;34.91;100;0;4;100;2;0;0;0
D117_C11;50.887651;4.584109;3.07.2019;Forest;0;0;34.64;95;20;80;50;1;0;90;40
D117_C12;50.884224;4.582972;3.07.2019;Grassland;0;0;38.49;95;5;10;95;0;0;0;0
D117_C13;50.877057;4.614118;3.07.2019;Forest;5;340;85.72;90;0;100;30;1;0;0;85
D117_C14;50.888425;4.629459;3.07.2019;Forest;2;267;55.66;90;0;100;10;0;0;40;80
D117_C15;50.817868;4.646209;4.07.2019;Grassland;0;0;27.77;100;0;5;100;20;0;0;0
D117_C16;50.81936;4.6443;4.07.2019;Grassland;0;0;27.84;99;1;5;99;15;0;0;0
D117_C17;50.80932;4.641979;4.07.2019;Forest;0;0;27.05;95;1;99;80;0;0;10;70
D117_C18;50.87993;4.644816;5.07.2019;Forest;0;0;68.19;95;1;99;85;1;0;20;60
D117_C19;50.879948;4.643529;5.07.2019;Forest;0.2;102;73;90;0;100;80;1;0;4;50
D117_C20;50.87172;4.642734;5.07.2019;Grassland;19;255;52.06;50;40;1;60;4;0;0;0
D117_C21;50.86259;4.668497;5.07.2019;Grassland;0;0;27.21;100;0;5;100;5;0;0;0
D117_C22;50.861413;4.66896;5.07.2019;Forest;0;0;25.57;95;1;95;75;2;0;50;75
D117_C23;50.856526;4.666922;5.07.2019;Forest;0;0;22.95;95;1;95;90;0;0;4;70
D117_C24;50.864893;4.685396;8.07.2019;Grassland;0;0;23.86;100;0;2;100;1;0;0;0
D117_C25;50.864851;4.690753;8.07.2019;Forest;0;0;28.43;90;1;99;40;0;0;20;60
D117_C26;50.831046;4.547629;8.07.2019;Forest;0;0;57.63;100;2;98;90;5;0;60;50
D117_C27;50.831078;4.549545;8.07.2019;Grassland;0;0;66.18;100;0;4;100;0;0;0;0
D117_C28;50.813382;4.704145;8.07.2019;Forest;0;0;75.88;90;0;100;1;1;0;0;90
D117_C29;50.791153;4.638712;9.07.2019;Forest;0;0;29.74;90;98;1;85;0;0;5;0
D117_C30;50.78776;4.639529;9.07.2019;Grassland;0;0;29.44;100;0;2;100;0;0;0;0
D117_C31;50.772124;4.609928;9.07.2019;Forest;0;0;33.56;99;1;10;90;5;0;30;50
D117_C32;50.764352;4.614552;9.07.2019;Forest;0;0;83.85;70;1;85;60;60;0;2;30
D117_C33;50.893118;4.722261;10.07.2019;Grassland;0;0;16.71;100;0;4;100;4;0;0;0
D117_C34;50.894093;4.732035;10.07.2019;Forest;0;0;21.86;99;5;30;95;0;0;15;60
D117_C35;50.893977;4.732021;10.07.2019;Grassland;0;0;22.53;100;0;5;100;20;0;0;0
D117_C36;50.898818;4.76703;10.07.2019;Forest;5;210;72.06;95;1;95;70;1;0;80;30
D117_C37;50.897726;4.770923;10.07.2019;Forest;10;306;68.12;95;1;95;70;0;0;40;60
D117_C38;50.849195;4.682075;11.07.2019;Forest;0;0;50.26;80;0;99;60;1;0;35;30
D117_C39;50.845296;4.684345;11.07.2019;Forest;0;0;56.34;60;20;30;55;0;0;10;0
